t,truth_x,truth_y,truth_z,truth_roll,truth_pitch,truth_yaw,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_roll,ekf_pitch,ekf_yaw,esekf_x,esekf_y,esekf_z,esekf_vx,esekf_vy,esekf_vz,esekf_roll,esekf_pitch,esekf_yaw,inekf_x,inekf_y,inekf_z,inekf_vx,inekf_vy,inekf_vz,inekf_roll,inekf_pitch,inekf_yaw
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008626,-0.048104,0.037860,0.111758,-0.545331,0.162071,0.185063,0.112302,-0.020291,0.009271,-0.052403,0.043918,0.110537,-0.535207,0.146961,0.183982,0.111675,-0.020280,0.016249,-0.065029,0.031884,0.114801,-0.530810,0.147013,0.188953,0.115623,-0.009180
0.100000,0.010585,-0.058748,0.046228,0.020343,0.222254,-0.051480,0.018473,-0.104124,0.033275,0.094166,-0.506819,-0.365799,0.268877,0.079913,-0.044938,0.019114,-0.110154,0.042061,0.094726,-0.491841,-0.389521,0.267174,0.079164,-0.044701,0.026364,-0.124400,0.028426,0.094835,-0.486848,-0.390199,0.269431,0.089797,-0.040728
0.200000,0.017818,-0.118662,0.028395,0.059380,0.455316,-0.105062,0.047020,-0.162887,-0.017835,0.288891,-0.514984,-0.818136,0.070112,-0.302295,-0.070969,0.053720,-0.173512,-0.003304,0.258025,-0.461454,-0.874350,0.077687,-0.315642,-0.078245,0.053432,-0.190082,-0.016270,0.237051,-0.472413,-0.874571,0.076067,-0.296509,-0.131497
0.300000,-0.003989,-0.175559,-0.053438,0.096140,0.669274,-0.161143,0.103288,-0.262242,-0.061921,0.678316,-0.920486,-0.708633,-0.402065,-0.977118,-0.066656,0.116038,-0.279555,-0.022930,0.572496,-0.681605,-0.978576,-0.285724,-0.997820,-0.218819,0.098768,-0.283845,-0.020889,0.626957,-0.705009,-0.936851,-0.479730,-1.007991,0.023409
0.400000,-0.069602,-0.222602,-0.178832,0.095885,0.827745,-0.218119,0.111840,-0.425890,-0.067886,0.447726,-1.456181,-0.157351,-0.960032,-1.740940,0.014566,0.036527,-0.396591,-0.044181,0.240372,-0.952067,-0.868640,0.659958,-1.290755,-1.889703,0.081607,-0.329790,0.001721,0.714304,-0.822686,-0.504142,-2.543827,-1.125578,1.793146
0.500000,-0.172157,-0.260492,-0.324888,0.046681,0.902991,-0.273851,0.068370,-0.595692,-0.099877,-0.101561,-1.680488,-0.160504,-1.395545,-2.520959,0.098144,0.002455,-0.478068,0.065673,0.035938,-0.956820,-0.345820,-2.719223,-0.996283,1.430091,-0.009334,-0.290477,-0.091353,0.233992,-0.551364,-0.139962,-3.088664,-0.522183,2.115094
0.600000,-0.292498,-0.299898,-0.480354,-0.042588,0.886363,-0.329742,0.010117,-0.733841,-0.185668,-0.294545,-1.548425,-0.637808,-1.702058,3.101410,0.076600,-0.121561,-0.692335,0.097253,-0.310206,-1.144627,-0.212803,1.088587,-1.545494,-2.303562,-0.166008,-0.208821,-0.228616,-0.411276,-0.168338,-0.064546,2.919031,0.043594,2.083994
0.700000,-0.405928,-0.355278,-0.637571,-0.170884,0.783848,-0.386761,-0.014201,-0.830525,-0.293114,-0.070744,-1.067118,-1.005701,-1.986127,2.612017,0.048713,0.041754,-0.840697,0.270553,-0.199567,-0.970362,0.111088,1.782952,-0.785039,2.726896,-0.342627,-0.138284,-0.347210,-0.770530,0.044011,-0.304189,2.557614,0.481798,1.907554
0.800000,-0.489080,-0.438157,-0.780772,-0.339236,0.611618,-0.444610,-0.004208,-0.883152,-0.408698,0.217672,-0.452556,-1.082277,-2.271082,2.301312,0.037291,-0.171165,-0.844695,0.213474,-0.515524,-0.441651,-0.036292,-2.840930,-1.432837,1.105980,-0.490676,-0.096831,-0.465459,-0.735412,0.037646,-0.645852,2.103934,0.704833,1.633803
0.900000,-0.530410,-0.548520,-0.883164,-0.545014,0.390587,-0.502981,0.022406,-0.889574,-0.516121,0.225815,0.103297,-0.951635,-2.417673,2.201709,0.043098,-0.221490,-0.914825,0.267556,-0.468171,-0.030055,-0.010303,1.045151,-1.258729,-3.048996,-0.593483,-0.080075,-0.578060,-0.408992,-0.094672,-0.854001,1.873824,0.736848,1.509218
1.000000,-0.534608,-0.667425,-0.916150,-0.779137,0.143635,-0.560569,0.040208,-0.857036,-0.606629,-0.028806,0.497216,-0.762995,-2.326471,2.366232,0.066319,-0.332736,-0.929782,0.285775,-0.462720,0.423406,-0.046813,1.360642,-1.150059,3.121609,-0.665743,-0.077373,-0.689169,-0.013739,-0.225816,-0.943210,2.107607,0.642037,1.720106
1.100000,-0.516367,-0.757004,-0.869920,-1.016128,-0.100543,-0.616291,0.026455,-0.792316,-0.677783,-0.298454,0.829251,-0.548955,-2.080927,2.755616,0.080787,-0.443934,-0.915616,0.293516,-0.519195,0.836080,-0.275081,1.808112,-0.933255,2.939414,-0.735112,-0.076889,-0.805781,0.252299,-0.278238,-1.121265,2.546158,0.336786,2.061167
1.200000,-0.485748,-0.781668,-0.767826,-1.233361,-0.314001,-0.669949,-0.020103,-0.701289,-0.735671,-0.457403,1.082528,-0.438425,-1.770440,-2.972887,0.066509,-0.529027,-0.863639,0.273026,-0.518809,1.064873,-0.588741,2.072028,-0.594267,2.773536,-0.835717,-0.071591,-0.916343,0.191477,-0.222416,-1.338384,2.937550,-0.208382,2.298906
