t,truth_x,truth_y,truth_z,truth_roll,truth_pitch,truth_yaw,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_roll,ekf_pitch,ekf_yaw,esekf_x,esekf_y,esekf_z,esekf_vx,esekf_vy,esekf_vz,esekf_roll,esekf_pitch,esekf_yaw,inekf_x,inekf_y,inekf_z,inekf_vx,inekf_vy,inekf_vz,inekf_roll,inekf_pitch,inekf_yaw
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001503,0.094752,0.006383,-0.002265,1.069131,0.180427,-0.119579,0.081533,-0.054094,0.001822,0.103176,0.005843,-0.003275,1.048282,0.181728,-0.120407,0.080727,-0.054241,0.006723,0.101243,-0.007241,0.001027,1.048579,0.179046,-0.122732,0.076681,-0.059091
0.100000,-0.007768,0.127825,0.031541,0.101547,0.066288,-0.030603,0.006506,0.221915,0.024292,0.023920,1.255440,0.308810,-0.250536,0.135381,-0.110690,0.008458,0.236297,0.020411,0.009797,1.210330,0.328299,-0.249401,0.133769,-0.107190,0.014933,0.231402,0.001807,0.017454,1.211278,0.320677,-0.258411,0.114750,-0.120732
0.200000,-0.011654,0.249424,0.101078,0.190778,0.140925,-0.066931,0.014378,0.358520,0.049889,0.053011,1.378480,0.356747,-0.401478,0.135196,-0.178609,0.017504,0.377776,0.039684,0.011167,1.310944,0.423740,-0.395919,0.131531,-0.168038,0.024616,0.368454,0.015383,0.015857,1.314374,0.408982,-0.411426,0.085357,-0.178769
0.300000,-0.008156,0.360744,0.201223,0.262235,0.217435,-0.111333,0.024761,0.504974,0.078755,0.075132,1.499818,0.347115,-0.513458,0.101647,-0.234931,0.026664,0.527554,0.062636,-0.002754,1.411941,0.473871,-0.502715,0.096819,-0.215343,0.032868,0.513593,0.032226,-0.009011,1.418995,0.449301,-0.519015,0.021625,-0.208448
0.400000,0.005033,0.460374,0.325618,0.317213,0.289765,-0.163107,0.035833,0.661843,0.109743,0.076034,1.598087,0.333719,-0.536051,0.074822,-0.272421,0.034003,0.685925,0.093471,-0.035216,1.498877,0.483252,-0.521666,0.072135,-0.244254,0.037507,0.669419,0.056757,-0.055075,1.508056,0.446840,-0.535704,-0.026269,-0.224003
0.500000,0.027595,0.548631,0.466530,0.362701,0.357205,-0.220233,0.045281,0.825042,0.146456,0.059289,1.636136,0.379657,-0.446015,0.099573,-0.296786,0.038853,0.848799,0.137324,-0.076943,1.546718,0.475667,-0.430709,0.102318,-0.262346,0.039011,0.832951,0.094666,-0.103363,1.556664,0.427828,-0.441817,-0.015749,-0.254571
0.600000,0.057694,0.627024,0.615169,0.411128,0.423709,-0.280801,0.052829,0.984642,0.196737,0.054688,1.568719,0.522771,-0.251391,0.197835,-0.326484,0.050517,1.005394,0.199893,-0.108359,1.529470,0.476376,-0.243798,0.223916,-0.293801,0.043392,0.991582,0.153988,-0.140151,1.540299,0.419509,-0.249008,0.078817,-0.316724
0.700000,0.093480,0.696521,0.766394,0.476062,0.495842,-0.344149,0.057434,1.126766,0.261182,0.083120,1.379224,0.683866,0.016051,0.355034,-0.369163,0.081199,1.138282,0.277486,-0.124597,1.454625,0.456614,-0.003766,0.442868,-0.358362,0.056855,1.120929,0.239004,-0.162386,1.465778,0.402031,0.008123,0.273119,-0.389799
0.800000,0.133153,0.758577,0.914678,0.568804,0.583420,-0.412253,0.063795,1.243580,0.335447,0.152477,1.155847,0.779286,0.307526,0.521773,-0.428572,0.127196,1.242625,0.350006,-0.144786,1.381056,0.381066,0.236726,0.678893,-0.462334,0.083808,1.206986,0.346195,-0.175010,1.396699,0.371786,0.288651,0.529231,-0.433152
0.900000,0.176517,0.816641,1.053807,0.695159,0.693074,-0.487776,0.078320,1.339440,0.418715,0.237691,1.031354,0.796754,0.546208,0.644871,-0.519181,0.167573,1.326171,0.408831,-0.166694,1.386705,0.252434,0.439828,0.827599,-0.582568,0.121828,1.261954,0.461335,-0.184003,1.419904,0.337692,0.517242,0.765904,-0.457665
